,date,year,month,day,maxt
507,19020412,1902,4,12,16
508,19020512,1902,5,12,26
509,19020612,1902,6,12,28
510,19020712,1902,7,12,30
511,19020812,1902,8,12,28
512,19020912,1902,9,12,35
513,19021012,1902,10,12,30
514,19021112,1902,11,12,21
515,19021212,1902,12,12,19
516,19020113,1902,1,13,27
517,19020213,1902,2,13,22
518,19020313,1902,3,13,27
519,19020413,1902,4,13,24
520,19020513,1902,5,13,26
521,19020613,1902,6,13,29
522,19020713,1902,7,13,30
523,19020813,1902,8,13,30
524,19020913,1902,9,13,32
525,19021013,1902,10,13,31
526,19021113,1902,11,13,23
527,19021213,1902,12,13,15
528,19020114,1902,1,14,25
529,19020214,1902,2,14,22
530,19020314,1902,3,14,25
531,19020414,1902,4,14,24
532,19020514,1902,5,14,30
533,19020614,1902,6,14,30
534,19020714,1902,7,14,31
535,19020814,1902,8,14,30
536,19020914,1902,9,14,35
537,19021014,1902,10,14,30
538,19021114,1902,11,14,25
539,19021214,1902,12,14,16
540,19020115,1902,1,15,23
541,19020215,1902,2,15,22
542,19020315,1902,3,15,26
543,19020415,1902,4,15,27
544,19020515,1902,5,15,30
545,19020615,1902,6,15,30
546,19020715,1902,7,15,31
547,19020815,1902,8,15,31
548,19020915,1902,9,15,34
549,19021015,1902,10,15,30
550,19021115,1902,11,15,25
551,19021215,1902,12,15,19
552,19020116,1902,1,16,24
553,19020216,1902,2,16,24
554,19020316,1902,3,16,28
555,19020416,1902,4,16,27
556,19020516,1902,5,16,30
557,19020616,1902,6,16,32
558,19020716,1902,7,16,32
559,19020816,1902,8,16,33
560,19020916,1902,9,16,35
561,19021016,1902,10,16,27
562,19021116,1902,11,16,20
563,19021216,1902,12,16,21
564,19020117,1902,1,17,27
565,19020217,1902,2,17,24
566,19020317,1902,3,17,27
567,19020417,1902,4,17,28
568,19020517,1902,5,17,29
569,19020617,1902,6,17,32
570,19020717,1902,7,17,33
571,19020817,1902,8,17,34
572,19020917,1902,9,17,33
573,19021017,1902,10,17,27
574,19021117,1902,11,17,19
575,19021217,1902,12,17,20
576,19020118,1902,1,18,24
577,19020218,1902,2,18,22
578,19020318,1902,3,18,27
579,19020418,1902,4,18,30
580,19020518,1902,5,18,28
581,19020618,1902,6,18,33
582,19020718,1902,7,18,28
583,19020818,1902,8,18,33
584,19020918,1902,9,18,34
585,19021018,1902,10,18,27
586,19021118,1902,11,18,21
587,19021218,1902,12,18,20
588,19020119,1902,1,19,23
589,19020219,1902,2,19,23
590,19020319,1902,3,19,27
591,19020419,1902,4,19,30
592,19020519,1902,5,19,30
593,19020619,1902,6,19,33
594,19020719,1902,7,19,31
595,19020819,1902,8,19,34
596,19020919,1902,9,19,34
597,19021019,1902,10,19,27
598,19021119,1902,11,19,24
599,19021219,1902,12,19,17
600,19020120,1902,1,20,23
601,19020220,1902,2,20,23
602,19020320,1902,3,20,27
603,19020420,1902,4,20,26
604,19020520,1902,5,20,28
605,19020620,1902,6,20,33
606,19020720,1902,7,20,31
607,19020820,1902,8,20,33
608,19020920,1902,9,20,34
609,19021020,1902,10,20,28
610,19021120,1902,11,20,26
611,19021220,1902,12,20,19
612,19020121,1902,1,21,26
613,19020221,1902,2,21,22
614,19020321,1902,3,21,27
615,19020421,1902,4,21,29
616,19020521,1902,5,21,31
617,19020621,1902,6,21,31
618,19020721,1902,7,21,33
619,19020821,1902,8,21,33
620,19020921,1902,9,21,34
621,19021021,1902,10,21,27
622,19021121,1902,11,21,26
623,19021221,1902,12,21,17
624,19020122,1902,1,22,26
625,19020222,1902,2,22,21
626,19020322,1902,3,22,25
627,19020422,1902,4,22,31
628,19020522,1902,5,22,31
629,19020622,1902,6,22,32
630,19020722,1902,7,22,32
631,19020822,1902,8,22,33
632,19020922,1902,9,22,36
633,19021022,1902,10,22,28
634,19021122,1902,11,22,26
635,19021222,1902,12,22,19
636,19020123,1902,1,23,24
637,19020223,1902,2,23,24
638,19020323,1902,3,23,25
639,19020423,1902,4,23,31
640,19020523,1902,5,23,32
641,19020623,1902,6,23,32
642,19020723,1902,7,23,34
643,19020823,1902,8,23,34
644,19020923,1902,9,23,35
645,19021023,1902,10,23,30
646,19021123,1902,11,23,24
647,19021223,1902,12,23,19
648,19020124,1902,1,24,22
649,19020224,1902,2,24,25
650,19020324,1902,3,24,23
651,19020424,1902,4,24,32
652,19020524,1902,5,24,30
653,19020624,1902,6,24,33
654,19020724,1902,7,24,33
655,19020824,1902,8,24,34
656,19020924,1902,9,24,33
657,19021024,1902,10,24,29
658,19021124,1902,11,24,21
659,19021224,1902,12,24,16
660,19020125,1902,1,25,23
661,19020225,1902,2,25,26
662,19020325,1902,3,25,21
663,19020425,1902,4,25,32
664,19020525,1902,5,25,30
665,19020625,1902,6,25,34
666,19020725,1902,7,25,33
667,19020825,1902,8,25,30
668,19020925,1902,9,25,28
669,19021025,1902,10,25,28
670,19021125,1902,11,25,22
671,19021225,1902,12,25,15
672,19020126,1902,1,26,22
673,19020226,1902,2,26,24
674,19020326,1902,3,26,20
675,19020426,1902,4,26,31
676,19020526,1902,5,26,31
677,19020626,1902,6,26,34
678,19020726,1902,7,26,37
679,19020826,1902,8,26,31
680,19020926,1902,9,26,30
681,19021026,1902,10,26,29
682,19021126,1902,11,26,23
683,19021226,1902,12,26,15
684,19020127,1902,1,27,23
685,19020227,1902,2,27,25
686,19020327,1902,3,27,16
687,19020427,1902,4,27,31
688,19020527,1902,5,27,29
689,19020627,1902,6,27,29
690,19020727,1902,7,27,37
691,19020827,1902,8,27,34
692,19020927,1902,9,27,30
693,19021027,1902,10,27,29
694,19021127,1902,11,27,24
695,19021227,1902,12,27,15
696,19020128,1902,1,28,24
697,19020228,1902,2,28,26
698,19020328,1902,3,28,22
699,19020428,1902,4,28,31
700,19020528,1902,5,28,28
701,19020628,1902,6,28,29
702,19020728,1902,7,28,30
703,19020828,1902,8,28,34
704,19020928,1902,9,28,31
705,19021028,1902,10,28,28
706,19021128,1902,11,28,23
707,19021228,1902,12,28,18
708,19020129,1902,1,29,26
709,19020229,1902,2,29,-999
710,19020329,1902,3,29,26
711,19020429,1902,4,29,31
712,19020529,1902,5,29,30
713,19020629,1902,6,29,28
714,19020729,1902,7,29,29
715,19020829,1902,8,29,34
716,19020929,1902,9,29,32
717,19021029,1902,10,29,29
718,19021129,1902,11,29,24
719,19021229,1902,12,29,17
720,19020130,1902,1,30,22
721,19020230,1902,2,30,-999
722,19020330,1902,3,30,26
723,19020430,1902,4,30,30
724,19020530,1902,5,30,31
725,19020630,1902,6,30,27
726,19020730,1902,7,30,30
727,19020830,1902,8,30,35
728,19020930,1902,9,30,35
729,19021030,1902,10,30,26
730,19021130,1902,11,30,23
731,19021230,1902,12,30,21
732,19020131,1902,1,31,25
733,19020231,1902,2,31,-999
734,19020331,1902,3,31,22
735,19020431,1902,4,31,-999
736,19020531,1902,5,31,30
737,19020631,1902,6,31,-999
738,19020731,1902,7,31,31
739,19020831,1902,8,31,34
740,19020931,1902,9,31,-999
741,19021031,1902,10,31,22
742,19021131,1902,11,31,-999
743,19021231,1902,12,31,18
744,19030101,1903,1,1,19
745,19030201,1903,2,1,7
746,19030301,1903,3,1,20
747,19030401,1903,4,1,26
748,19030501,1903,5,1,21
749,19030601,1903,6,1,31
750,19030701,1903,7,1,29
751,19030801,1903,8,1,34
752,19030901,1903,9,1,27
753,19031001,1903,10,1,30
754,19031101,1903,11,1,22
755,19031201,1903,12,1,19
756,19030102,1903,1,2,19
757,19030202,1903,2,2,6
758,19030302,1903,3,2,19
759,19030402,1903,4,2,27
760,19030502,1903,5,2,21
761,19030602,1903,6,2,32
762,19030702,1903,7,2,28
763,19030802,1903,8,2,33
764,19030902,1903,9,2,27
765,19031002,1903,10,2,30
766,19031102,1903,11,2,23
767,19031202,1903,12,2,19
768,19030103,1903,1,3,17
769,19030203,1903,2,3,11
